tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
2019-08-21,21,AUDİ,A180,2001,103581,3339,1570
2018-12-05,32,TESLA,S350,2011,98517,7547,803
2019-01-09,40,MERCEDES,A180,2006,198646,7318,1060
2018-06-25,6,WOLKSWAGEN,S350,2008,98592,4139,1910
2018-08-27,2,FORD,S600,2015,57777,6877,456
2018-04-12,11,MERCEDES,A180,2008,78849,461,502
2019-09-12,36,FİAT,EGEA,2007,77781,6513,1795
2019-10-14,56,SAAB,S350,2001,150324,2921,1170
2019-09-20,77,BMW,A180,2005,183365,5514,1494
2019-04-14,66,FORD,S350,2017,33255,4902,255
2019-08-14,29,FİAT,500L,2015,64160,7177,1784
2018-02-06,52,VOLVO,S600,2014,150111,6307,759
2018-02-08,46,TESLA,E200,2008,36962,2707,401
2018-09-04,26,MERCEDES,A180,2007,82522,1194,1429
2019-09-23,39,FİAT,500L,2007,91706,5136,898
2018-08-15,2,TOFAS,DOGAN,2017,135326,8741,870
2018-10-29,19,BMW,E200,2003,31372,8018,1801
2018-03-26,48,TESLA,S350,2017,59019,643,961
2019-10-19,62,FORD,S350,2015,134740,8276,976
2018-11-30,41,AUDİ,S350,2017,104980,6822,1752
2018-12-17,26,TESLA,S600,2017,13705,2467,1956
2019-10-26,19,TESLA,A180,2006,9443,1223,785
2018-04-12,1,BMW,E200,2012,89494,2476,1336
2019-01-11,32,VOLVO,S350,2005,68639,7007,260
2018-08-21,15,FORD,E200,2010,9578,3537,701
2019-02-14,1,WOLKSWAGEN,S350,2010,105826,1098,634
2019-02-07,46,VOLVO,S350,2014,15777,1725,252
2018-09-02,28,TESLA,S350,2017,131108,6273,865
2018-12-08,12,MERCEDES,E200,2000,160058,8333,468
2018-02-19,39,BMW,A180,2001,146660,7876,1160
2019-09-20,26,WOLKSWAGEN,S600,2009,189782,3119,1983
2019-01-01,33,TOFAS,DOGAN,2007,75816,6218,1421
2018-06-19,57,BMW,A180,2001,12862,2727,1171
2018-02-19,43,TESLA,S600,2004,68212,3545,1226
2018-03-03,14,SAAB,S600,2009,153282,3235,1938
2019-11-08,41,BMW,S350,2006,31059,9193,1883
2019-05-01,39,BMW,S600,2007,164505,654,830
2019-01-09,46,MERCEDES,S600,2013,194647,5318,818
2019-10-21,58,VOLVO,S350,2002,18794,1330,631
2019-03-14,18,SAAB,A180,2006,95300,4850,1178
2019-04-08,42,FİAT,EGEA,2015,86279,3711,1531
2018-10-13,23,MERCEDES,A180,2001,177958,3362,331
2019-01-11,50,FORD,E200,2006,117372,8278,431
2018-06-01,79,VOLVO,S600,2008,162234,3322,1385
2018-11-13,52,SAAB,S350,2015,128419,7082,1407
2018-06-09,22,FORD,S600,2014,184213,4213,1129
2019-04-05,15,WOLKSWAGEN,E200,2008,195132,6182,351
2018-04-27,75,MERCEDES,E200,2011,131602,7262,1935
2018-02-28,41,AUDİ,A180,2002,18079,6425,673
2019-01-25,19,BMW,E200,2014,72578,2647,407
2018-06-13,41,VOLVO,A180,2008,62504,7828,1696
2018-10-27,70,FORD,S350,2000,49074,2888,1178
2019-01-06,76,TOFAS,DOGAN,2004,2030,4001,840
2019-05-20,5,TOFAS,KARTAL,2000,124301,3521,932
2018-07-17,11,FORD,A180,2000,11943,91,1514
2018-10-04,55,BMW,S350,2012,35019,7165,1243
2018-09-19,44,FİAT,500L,2008,39337,2792,386
2018-07-06,28,MERCEDES,S350,2015,91847,5625,1848
2019-11-24,11,WOLKSWAGEN,A180,2009,144758,212,929
2019-07-09,77,WOLKSWAGEN,E200,2006,26784,6220,678
2019-04-15,30,SAAB,S600,2017,116026,1661,1524
2019-08-19,47,MERCEDES,S600,2008,103620,3264,1017
2018-07-09,27,VOLVO,S350,2001,168403,3877,909
2019-06-12,54,VOLVO,A180,2013,20724,529,575
2018-01-26,68,FORD,A180,2007,166998,7092,1665
2018-11-04,47,SAAB,S600,2006,18713,2602,1690
2018-04-23,66,AUDİ,E200,2015,113621,5510,1249
2019-05-06,78,TESLA,S600,2012,13702,9133,1597
2018-04-12,21,VOLVO,S600,2000,20051,1368,1921
2018-10-03,35,BMW,E200,2008,143383,6544,560
2018-10-12,28,VOLVO,S350,2005,128798,5871,300
2018-05-16,35,SAAB,A180,2010,128903,6012,1900
2018-05-05,20,SAAB,A180,2002,174203,9615,1077
2019-10-06,52,VOLVO,E200,2003,188719,8605,1956
2018-12-11,35,BMW,A180,2010,103605,1832,461
2019-01-11,22,FORD,S350,2011,103217,6638,934
2019-10-07,67,MERCEDES,A180,2001,3095,2786,1203
2019-03-06,48,VOLVO,S600,2006,165223,328,1757
2018-03-21,55,WOLKSWAGEN,A180,2008,171994,6925,783
2018-11-08,34,MERCEDES,A180,2006,168835,5378,1383
2018-09-21,66,WOLKSWAGEN,A180,2016,166331,4560,266
2018-07-19,38,BMW,A180,2017,82762,7473,927
2018-04-28,39,TESLA,A180,2001,49388,4210,935
2018-04-06,58,TESLA,S350,2011,164771,7896,934
2018-09-26,8,TESLA,S350,2014,75024,864,560
2019-07-22,9,MERCEDES,S600,2005,86804,8455,528
2019-12-01,55,AUDİ,A180,2015,27614,6327,1039
2019-11-13,51,SAAB,A180,2000,174318,7104,1182
2019-06-20,79,FİAT,500,2017,60601,413,1887
2018-09-23,22,FORD,S350,2008,146175,448,994
2018-01-31,16,MERCEDES,E200,2002,71034,6584,521
2019-02-09,39,FİAT,DOBLO,2000,22713,3634,528
2019-05-24,12,VOLVO,E200,2011,144885,8518,781
2018-12-07,4,FİAT,DOBLO,2012,37237,3188,1982
2019-03-03,69,MERCEDES,S350,2016,39060,3854,1162
2019-02-06,43,FİAT,500L,2009,78795,782,1463
2019-07-12,20,SAAB,S600,2003,23017,1373,1819
2018-05-22,21,BMW,E200,2002,5222,6381,1274
2019-01-07,66,BMW,S600,2014,91392,1170,1588
2019-03-03,17,TESLA,A180,2005,47744,4653,554
2019-07-07,28,TOFAS,SAHIN,2003,34359,7747,1831
2019-03-06,52,AUDİ,A180,2013,119755,7788,875
2018-03-25,8,FORD,E200,2009,157328,2800,503
2018-05-18,8,WOLKSWAGEN,S350,2013,106274,7894,1494
2019-04-02,9,WOLKSWAGEN,A180,2014,171221,4686,713
2018-01-20,75,FİAT,500L,2004,162924,6792,581
2018-11-03,69,FORD,E200,2016,106632,511,1406
2018-04-09,3,WOLKSWAGEN,S600,2007,68973,2564,740
2019-12-18,56,FİAT,500L,2005,153156,1195,904
2018-11-28,34,FİAT,500L,2014,2860,1590,1043
2019-01-05,77,BMW,A180,2012,121834,5525,489
2019-03-19,27,MERCEDES,A180,2005,137614,2786,1651
2019-11-26,19,MERCEDES,S600,2007,42766,8618,1529
2019-02-21,71,AUDİ,E200,2003,151142,8736,999
2018-02-23,3,SAAB,S350,2011,179420,4515,1348
2018-04-02,39,WOLKSWAGEN,A180,2000,57542,5830,593
2018-09-02,46,SAAB,A180,2011,83957,1680,810
2019-07-31,57,BMW,S600,2011,105965,3519,1741
2018-08-25,25,FORD,S350,2014,73518,8139,1302
2018-01-21,63,SAAB,S600,2017,113826,7314,1398
2019-10-22,58,TESLA,S600,2014,53682,6120,1050
2018-04-14,69,WOLKSWAGEN,A180,2002,119082,3312,1674
2019-06-27,20,TOFAS,KARTAL,2011,114837,5271,1950
2019-12-16,15,TESLA,S600,2002,158298,831,1777
2019-12-06,12,FİAT,500,2015,3721,2202,1533
2018-01-07,52,FİAT,DOBLO,2017,36677,5441,1775
2018-06-12,26,WOLKSWAGEN,S600,2013,89452,4450,313
2019-04-28,36,MERCEDES,A180,2002,129286,4998,1487
2018-12-25,78,MERCEDES,S600,2001,100056,3291,1124
2019-01-09,5,VOLVO,S600,2011,191764,9406,785
2019-01-15,61,VOLVO,S600,2003,106525,8666,1322
2019-04-21,43,MERCEDES,S350,2013,89200,2016,1960
2018-03-31,23,TESLA,S350,2001,35924,4841,998
2018-12-16,12,WOLKSWAGEN,A180,2008,198815,6445,1412
2019-08-02,41,FİAT,500L,2016,53241,7785,1943
2018-02-11,45,FORD,S350,2001,164531,2721,364
2018-12-15,24,VOLVO,S350,2003,186401,4594,1892
2019-07-25,13,WOLKSWAGEN,S350,2001,170604,8629,513
2019-09-01,32,TESLA,A180,2001,68958,4076,743
2018-09-16,78,FORD,S600,2005,175942,8892,821
2019-12-27,31,SAAB,A180,2014,153145,2676,1485
2018-01-18,70,MERCEDES,A180,2008,65457,3404,1748
2019-09-18,55,AUDİ,E200,2012,80090,8959,1397
2018-11-28,37,BMW,S350,2014,172015,5946,860
2019-06-26,70,TESLA,A180,2014,35902,1413,327
2018-07-25,39,MERCEDES,A180,2010,108354,6628,621
2019-11-26,60,TESLA,A180,2003,110600,8797,839
2019-11-25,17,TESLA,A180,2005,127822,3198,799
2019-01-23,74,VOLVO,S600,2001,107774,4194,1977
2019-01-18,30,MERCEDES,S600,2012,186753,8376,412
2018-07-03,54,MERCEDES,A180,2000,107503,1083,999
2018-07-21,18,WOLKSWAGEN,E200,2004,166484,6372,883
2018-11-07,29,FİAT,EGEA,2017,35778,8421,1339
2018-04-17,34,WOLKSWAGEN,A180,2017,67480,4277,1788
2019-07-26,16,FORD,S600,2016,62408,9109,653
2018-06-04,49,MERCEDES,A180,2005,158544,7208,485
2019-03-04,43,TESLA,S600,2008,197951,347,1630
2019-10-08,46,TOFAS,DOGAN,2000,9813,3602,1720
2019-06-15,57,FİAT,DOBLO,2007,111108,4216,1715
2018-09-04,39,MERCEDES,S350,2014,49479,7292,1753
2018-11-13,71,WOLKSWAGEN,E200,2015,76252,4937,1020
2019-04-01,41,BMW,A180,2006,64621,3559,655
2019-08-10,63,TOFAS,DOGAN,2000,127846,7254,865
2018-01-27,68,FİAT,500L,2014,173467,360,1265
2018-11-18,16,SAAB,S600,2002,152876,5248,1002
2019-10-29,57,AUDİ,S600,2016,28599,3318,1486
2019-04-07,66,VOLVO,S350,2011,199241,6403,693
2019-01-03,75,TESLA,A180,2014,56252,2134,1820
2018-05-20,5,TESLA,S350,2010,171011,5401,1277
2019-12-16,1,FORD,S600,2004,128933,6436,430
2018-11-21,1,TESLA,S350,2012,86035,9185,1254
2019-05-27,38,TESLA,A180,2002,189894,3963,667
2019-05-10,21,BMW,E200,2010,139504,4355,1222
2019-03-03,21,FİAT,500,2009,61872,8246,1008
2019-01-05,59,FİAT,500,2016,46430,9086,662
2019-05-24,5,FİAT,EGEA,2017,169300,9719,879
2018-08-28,24,MERCEDES,E200,2002,48327,3829,1774
2019-03-03,53,MERCEDES,A180,2003,82342,7786,799
2018-04-04,44,AUDİ,S350,2013,186054,3590,517
2019-10-28,80,BMW,S600,2015,128127,6257,1843
2019-12-07,44,FİAT,DOBLO,2014,4536,8293,1708
2018-03-26,73,AUDİ,S350,2013,37496,1809,1070
2019-11-16,38,AUDİ,E200,2009,45129,5998,1786
2018-03-11,27,TOFAS,KARTAL,2003,31735,3692,1995
2018-06-22,66,VOLVO,S350,2009,54978,2595,1586
2019-01-11,81,BMW,S350,2017,19849,4650,1347
2019-12-30,77,FİAT,500,2007,99964,3776,345
2018-02-10,61,FİAT,DOBLO,2011,159151,9930,1611
2018-09-08,2,TOFAS,SAHIN,2001,87471,1338,1856
2019-01-03,3,BMW,S600,2010,74567,403,261
2019-12-02,38,BMW,E200,2002,97302,6787,1715
2018-07-29,63,FORD,E200,2006,160432,3509,1667
2019-08-28,30,BMW,E200,2013,1214,409,1897
2018-02-01,2,FORD,S600,2014,53046,6961,1825
2018-06-28,42,TOFAS,KARTAL,2001,55561,2302,1539
2018-10-15,39,SAAB,S350,2003,42356,439,263
2018-03-07,15,SAAB,S600,2007,79801,9928,1161
2019-04-11,23,SAAB,E200,2002,79217,3967,978
2018-01-11,80,FİAT,500L,2008,195616,672,1887
2018-02-06,32,TOFAS,KARTAL,2015,23196,4624,635
2019-07-07,32,MERCEDES,E200,2011,66135,4698,1276
2019-02-20,24,MERCEDES,E200,2012,77082,6034,1638
2019-05-03,68,FORD,S350,2005,73566,8164,782
2018-02-04,72,WOLKSWAGEN,S350,2016,52492,8301,430
2019-09-11,73,BMW,E200,2000,64739,5543,1977
2019-09-10,17,FORD,S600,2008,88323,6998,265
2018-07-05,61,TOFAS,SAHIN,2014,45190,3567,1612
2018-06-11,58,FİAT,DOBLO,2012,142804,6402,607
2018-02-27,31,BMW,E200,2016,127046,1768,799
2018-03-18,36,AUDİ,S600,2010,171308,2784,343
2018-01-23,18,MERCEDES,E200,2009,91277,4037,1470
2018-08-18,20,SAAB,A180,2007,135059,5206,1762
2018-10-16,59,MERCEDES,E200,2009,145650,2469,302
2018-04-19,33,BMW,S600,2008,20492,3617,1346
2018-08-28,3,MERCEDES,A180,2009,63758,1467,791
2019-01-30,78,BMW,S350,2009,41763,9478,1758
2018-02-12,42,TOFAS,SAHIN,2004,17187,9325,1560
2019-04-03,4,FİAT,EGEA,2003,56780,1742,1370
2018-11-18,5,AUDİ,E200,2009,52276,7011,768
2019-03-31,65,FORD,A180,2011,66034,7344,1331
2018-08-28,63,SAAB,S600,2001,180194,2188,342
2018-10-04,55,AUDİ,A180,2000,86386,1535,1369
2019-05-14,13,SAAB,E200,2001,67824,3419,1294
2019-02-28,63,SAAB,E200,2013,39443,5286,989
2019-09-18,79,SAAB,A180,2001,102620,6895,1998
2019-01-18,48,FORD,S600,2008,16466,933,1374
2019-02-26,43,SAAB,A180,2010,120585,1658,1756
2019-05-26,73,VOLVO,E200,2005,69208,4318,1726
2019-02-15,78,WOLKSWAGEN,S350,2012,199140,5734,1598
2019-10-12,51,FORD,S350,2000,183235,6277,1426
2018-07-31,48,MERCEDES,S600,2005,96715,265,1293
2018-02-15,64,SAAB,S350,2002,117171,3513,557
2019-10-18,39,TOFAS,SAHIN,2007,40108,9942,887
2019-02-07,72,TOFAS,SAHIN,2017,180058,949,868
2019-10-29,20,TESLA,A180,2004,63168,5216,906
2019-07-22,42,WOLKSWAGEN,S600,2007,186739,376,864
2019-04-02,5,TOFAS,DOGAN,2004,70250,4668,1343
2018-11-21,29,BMW,S600,2000,3659,8859,363
2019-05-02,27,TESLA,S600,2010,89008,3282,1749
2019-05-03,66,TESLA,E200,2007,187744,6319,1863
2019-03-04,16,MERCEDES,E200,2013,109517,4230,1168
2019-10-26,76,MERCEDES,E200,2008,30575,8141,1724
2019-01-17,36,VOLVO,E200,2006,19198,885,952
2019-12-17,53,MERCEDES,A180,2016,83125,2857,742
2019-05-19,38,FİAT,DOBLO,2009,68669,3854,1901
2019-09-18,4,FORD,E200,2007,23411,7730,486
2019-08-21,57,SAAB,S600,2010,72964,587,1987
2018-10-12,72,WOLKSWAGEN,A180,2005,186174,6462,925
2019-11-12,75,AUDİ,A180,2009,80577,1094,324
2019-12-09,75,WOLKSWAGEN,S350,2006,108272,4646,1589
2018-06-28,60,TOFAS,SAHIN,2007,16237,3285,1767
2019-07-31,62,FİAT,EGEA,2016,32430,6319,355
2019-03-07,72,AUDİ,S350,2001,155625,8677,307
2018-03-14,72,MERCEDES,A180,2009,190451,7154,1164
2018-05-08,56,BMW,S600,2005,76599,7157,272
2019-06-08,78,AUDİ,S350,2017,111986,4345,1546
2018-04-27,14,WOLKSWAGEN,A180,2000,69490,4194,254
2018-01-23,27,AUDİ,A180,2005,118949,5428,1908
2019-04-24,77,FİAT,DOBLO,2011,144501,3053,1078
2018-03-10,25,WOLKSWAGEN,E200,2003,50418,6427,857
2018-05-16,38,FİAT,DOBLO,2012,97786,8173,1933
2018-09-02,19,WOLKSWAGEN,S350,2001,157666,1459,454
2019-11-23,13,TESLA,E200,2004,28425,4720,297
2018-10-28,51,FİAT,EGEA,2012,127553,467,497
2018-04-05,32,TOFAS,SAHIN,2017,31419,2631,1700
2018-10-15,28,TESLA,S350,2001,141293,9091,928
2019-12-16,5,FİAT,500L,2011,107543,2631,551
2019-07-26,21,SAAB,A180,2001,182001,4774,587
2019-11-10,49,AUDİ,S350,2003,92330,1731,513
2018-07-05,38,VOLVO,S600,2001,10677,4370,1630
2018-03-26,49,WOLKSWAGEN,A180,2008,89430,4186,1534
2018-06-10,61,TOFAS,SAHIN,2013,61216,6697,1002
2018-08-21,38,AUDİ,A180,2009,90196,6484,625
2018-10-11,2,FORD,S600,2003,24816,7073,668
2018-07-16,77,VOLVO,E200,2017,8661,6772,1469
2018-05-06,6,FİAT,500L,2013,85858,3660,1089
2019-08-31,59,SAAB,A180,2004,30038,9922,1569
2018-09-05,25,BMW,S600,2014,167661,8010,1196
2019-05-10,19,VOLVO,A180,2006,34388,7364,1385
2019-03-12,54,BMW,S600,2016,145127,1483,1926
2019-09-04,8,TESLA,E200,2008,149764,1822,584
2018-11-22,34,AUDİ,S600,2013,43812,9075,1771
2018-11-16,9,FORD,A180,2015,199233,1846,719
2019-08-15,76,TOFAS,SAHIN,2009,68632,3681,1078
2018-10-08,65,WOLKSWAGEN,S600,2008,162522,9794,258
2019-05-12,61,WOLKSWAGEN,A180,2010,133403,6888,1468
2018-12-12,58,VOLVO,S600,2014,169197,3533,911
2018-05-04,40,TESLA,S350,2005,128294,6343,744
2018-04-30,4,FİAT,500L,2013,118471,4683,1436
2018-02-13,55,FORD,S600,2017,66472,5512,801
2018-09-10,61,FİAT,DOBLO,2003,69066,1603,802
2019-11-20,17,TOFAS,SAHIN,2015,152975,9697,1371
2018-10-07,46,WOLKSWAGEN,S600,2012,168481,9296,1602
2018-10-28,44,TOFAS,KARTAL,2012,135383,6833,1957
2019-03-15,16,BMW,S600,2002,165185,7889,331
2018-02-16,59,TESLA,S600,2006,185406,8306,1152
2019-04-01,41,FORD,A180,2009,50713,7409,1360
2018-10-05,66,TESLA,E200,2011,97665,6557,328
2019-01-06,52,FORD,S600,2003,88433,5414,1494
2018-04-06,20,TESLA,E200,2007,40262,339,1879
2018-10-24,37,FORD,E200,2009,6335,788,1295
2019-10-01,79,VOLVO,A180,2014,85838,9811,408
2018-12-20,11,SAAB,S600,2012,51897,3721,1780
2018-08-28,11,TESLA,S350,2015,136594,6273,948
2018-12-20,65,VOLVO,E200,2009,115599,7975,453
2018-01-28,44,FORD,A180,2004,24344,7117,315
2019-03-13,8,WOLKSWAGEN,S600,2014,48697,6290,893
2018-07-29,15,BMW,S350,2014,79394,3438,961
2018-01-27,49,TESLA,S350,2015,22329,2776,1781
2018-12-29,1,TESLA,S600,2011,25521,5507,852
2019-07-21,72,MERCEDES,S350,2008,149053,7342,487
2018-07-05,39,VOLVO,S350,2011,32889,7567,1021
2018-04-01,12,SAAB,A180,2014,143449,1837,1985
2019-03-30,2,SAAB,E200,2011,150165,3884,401
2018-04-22,1,BMW,S600,2008,60443,1412,431
2018-11-05,79,AUDİ,E200,2015,35993,5026,789
2018-01-01,33,FİAT,DOBLO,2004,151241,5556,1111
2018-05-27,19,FİAT,500L,2015,57750,329,757
2019-12-11,78,TESLA,S350,2004,93953,1830,1269
2019-05-26,73,AUDİ,E200,2005,143696,6941,1351
2019-09-16,48,VOLVO,S600,2005,102303,6552,1336
2019-07-16,10,MERCEDES,S350,2007,110555,2233,1099
2018-08-08,10,FORD,A180,2009,141867,8002,1819
2018-01-30,37,SAAB,S600,2004,89160,705,822
2019-09-11,6,BMW,A180,2015,164322,3398,1390
2019-11-05,43,TESLA,A180,2003,175803,2182,1632
2018-05-31,25,TOFAS,KARTAL,2004,162652,7386,747
2019-07-31,10,WOLKSWAGEN,A180,2010,16611,8475,815
2018-07-23,37,SAAB,S600,2014,196228,1363,509
2019-01-08,79,BMW,S350,2007,141606,4405,357
2019-06-12,11,SAAB,A180,2013,11087,2638,1463
2018-02-10,7,MERCEDES,A180,2008,48762,384,861
2018-01-07,37,TESLA,S600,2002,51251,7274,1417
2019-08-13,17,BMW,S600,2007,199725,237,1494
2019-05-30,72,AUDİ,S350,2010,11390,5626,1137
2019-09-07,28,BMW,E200,2004,50273,2547,601
2019-10-29,59,WOLKSWAGEN,A180,2010,109657,1026,1400
2018-10-03,5,FİAT,500,2008,18053,1729,516
2019-07-30,15,FİAT,DOBLO,2003,182657,3607,1682
2018-03-24,61,WOLKSWAGEN,S350,2003,26979,2678,745
2019-12-21,57,AUDİ,S350,2004,53290,6375,1254
2019-04-30,24,MERCEDES,A180,2000,169383,2562,1840
2019-06-21,47,WOLKSWAGEN,A180,2003,12064,4257,1533
2019-08-31,65,MERCEDES,E200,2007,55763,880,714
2019-05-01,45,BMW,E200,2001,77010,4988,1249
2019-08-02,4,SAAB,A180,2005,94030,5772,628
2018-12-15,25,TOFAS,SAHIN,2007,47767,8852,1542
2018-09-01,9,MERCEDES,S350,2012,72666,4972,1363
2018-04-27,46,FİAT,500,2015,196079,1541,624
2019-02-15,44,FİAT,500L,2008,95677,1761,1830
2018-11-11,4,VOLVO,S600,2016,146241,1795,1085
2019-04-15,45,VOLVO,S600,2016,114522,951,1511
2018-12-24,65,TOFAS,DOGAN,2010,175967,2570,1312
2018-08-09,42,FORD,S600,2002,103758,6732,1910
2019-03-26,51,BMW,S600,2003,161501,3509,492
2018-04-17,15,VOLVO,S350,2009,115016,3887,1906
2018-08-26,50,AUDİ,E200,2002,109046,2728,1707
2019-10-27,67,FORD,A180,2002,118508,4414,987
2018-11-15,20,BMW,E200,2014,30553,7475,277
2018-06-04,11,TESLA,E200,2011,108947,7054,1865
2019-06-18,38,TESLA,E200,2003,68443,118,1471
2018-07-06,41,BMW,A180,2004,10471,1658,477
2019-10-18,40,VOLVO,S350,2015,173047,7164,1927
2019-12-25,33,FİAT,EGEA,2003,196426,6826,933
2019-03-02,13,TESLA,S350,2009,199489,2584,1591
2018-08-20,64,VOLVO,E200,2014,150685,9414,1638
2018-09-08,72,BMW,S350,2004,99678,8822,617
2018-03-20,44,SAAB,S350,2011,41194,2290,1175
2018-01-18,65,WOLKSWAGEN,E200,2010,28382,3732,1619
2019-05-02,52,SAAB,S350,2017,65203,9034,266
2018-12-26,13,MERCEDES,E200,2008,116142,194,1073
2019-12-23,15,FİAT,500,2000,189038,4463,294
2019-06-01,57,AUDİ,E200,2000,99607,3782,339
2018-09-05,12,BMW,S350,2000,80137,2124,1924
2018-01-18,34,MERCEDES,A180,2000,156581,3855,545
2019-06-30,44,TESLA,A180,2010,51965,8537,1852
2019-12-05,20,FİAT,EGEA,2013,52304,3971,837
2019-12-03,74,WOLKSWAGEN,A180,2009,98146,8710,1633
2018-05-17,13,BMW,E200,2008,85406,3646,762
2019-04-30,38,FİAT,500,2006,87431,6507,730
2019-07-02,66,FİAT,500L,2013,39685,106,919
2019-05-20,48,FORD,S350,2013,116037,598,1640
2019-02-08,1,SAAB,E200,2005,110462,2424,268
2019-06-24,23,FİAT,500,2016,2134,1540,707
2019-11-02,44,FİAT,500L,2008,194352,8641,693
2018-01-05,46,TESLA,A180,2006,39570,1190,892
2018-03-22,54,TOFAS,DOGAN,2013,188179,6503,1073
2018-01-10,14,TESLA,S600,2010,61538,7663,1797
2018-10-06,3,AUDİ,S350,2008,163936,1811,1425
2019-09-16,78,TESLA,S350,2007,125391,1352,1019
2019-12-15,60,FORD,E200,2002,182044,9665,1716
2018-08-29,48,AUDİ,E200,2013,90138,8189,1828
2018-02-28,7,SAAB,S350,2000,118776,8047,1814
2019-01-12,30,MERCEDES,A180,2016,71989,7202,1172
2019-05-07,36,TESLA,E200,2009,139502,3306,405
2019-09-12,37,BMW,E200,2006,93107,902,1872
2018-07-16,3,TOFAS,SAHIN,2006,181721,7771,1025
2019-02-06,18,BMW,A180,2008,23787,6626,2000
2018-11-21,36,FORD,A180,2013,197851,4730,1769
2018-01-01,80,SAAB,A180,2009,192096,806,499
2018-01-15,43,WOLKSWAGEN,S350,2016,174020,7755,1865
2018-10-23,7,WOLKSWAGEN,S350,2010,140490,2082,1384
2019-05-27,23,FORD,S600,2017,93939,713,1375
2019-01-14,70,SAAB,S600,2000,174508,1223,1957
2018-11-09,29,FİAT,EGEA,2016,47051,2897,857
2019-06-15,53,AUDİ,S350,2017,116735,5591,640
2019-09-01,40,FİAT,500L,2006,87287,3757,1747
2019-07-04,42,FORD,E200,2015,166957,9799,265
2019-07-06,35,WOLKSWAGEN,A180,2012,79730,8011,307
2018-12-27,71,TESLA,E200,2017,131157,324,1045
2018-01-06,28,VOLVO,E200,2007,164570,6846,1430
2018-03-12,25,FİAT,DOBLO,2009,50585,4730,1261
2018-06-18,54,BMW,S600,2001,108592,3879,1413
2018-07-23,16,MERCEDES,A180,2001,151492,9519,403
2019-05-09,4,WOLKSWAGEN,A180,2003,113684,408,545
2018-05-13,14,AUDİ,A180,2010,16177,2216,1160
2018-03-12,35,FİAT,500L,2009,40767,2328,991
2018-01-14,47,FİAT,500,2010,84391,2246,1768
2019-10-19,72,WOLKSWAGEN,A180,2006,194570,9752,450
2018-10-26,53,FORD,E200,2015,179611,5610,1399
2018-10-15,32,FORD,S350,2004,30111,6369,1775
2019-11-24,53,VOLVO,S350,2010,56982,8260,1001
2018-07-26,3,BMW,A180,2000,51449,8881,1944
2018-11-29,43,TOFAS,KARTAL,2004,158600,8149,1510
2018-01-05,7,VOLVO,S350,2015,68723,777,1315
2018-04-13,28,SAAB,S350,2015,94445,5076,1940
2018-12-23,78,MERCEDES,S600,2003,116526,4706,524
2019-02-24,53,TOFAS,DOGAN,2015,42836,6189,577
2019-05-14,3,TESLA,S600,2013,189139,5005,1589
2019-10-16,2,FORD,A180,2016,106729,3348,1578
2018-12-13,71,TOFAS,DOGAN,2009,75982,3672,1704
2019-06-26,49,TOFAS,KARTAL,2000,18086,3141,1625
2019-01-11,21,VOLVO,E200,2017,157249,7565,1635
2018-09-21,52,VOLVO,S350,2011,7126,7272,1164
2019-01-11,81,WOLKSWAGEN,S600,2001,105714,5683,1739
2019-10-02,45,MERCEDES,S600,2005,170750,9686,1969
2019-03-24,72,VOLVO,A180,2005,119065,4969,1397
2018-08-18,75,TESLA,A180,2017,83218,8936,1134
2019-09-11,23,FORD,A180,2012,60312,1429,1554
2018-04-28,34,WOLKSWAGEN,A180,2017,115317,5362,1788
2019-11-15,45,AUDİ,S350,2003,2981,1169,1347
2019-10-11,39,SAAB,S600,2013,121717,8081,812
2019-06-10,49,FİAT,DOBLO,2006,157570,2033,1652
2018-04-09,62,BMW,A180,2013,21823,9262,546
2018-01-22,65,MERCEDES,A180,2008,171342,3941,1827
2018-07-26,59,FİAT,DOBLO,2015,168763,3908,1845
2019-08-10,60,AUDİ,E200,2009,125908,473,1837
2018-08-11,39,FİAT,EGEA,2017,108157,9085,1959
2019-01-27,13,SAAB,S600,2010,176763,6989,1417
2018-11-14,35,WOLKSWAGEN,S600,2011,121530,8512,906
2019-11-07,31,FİAT,DOBLO,2002,55859,7018,1083
2018-09-29,59,WOLKSWAGEN,S600,2017,53748,4481,666
2019-01-29,23,TESLA,E200,2001,61515,8362,935
2018-06-19,48,WOLKSWAGEN,S600,2010,170974,5948,573
2018-04-03,38,VOLVO,S600,2004,25476,4037,253
2018-03-23,75,SAAB,E200,2002,169305,5393,930
2019-05-19,68,MERCEDES,S600,2009,92330,1639,1208
2019-09-09,17,BMW,S600,2000,75607,553,1384
2019-06-24,62,AUDİ,E200,2012,184627,6051,969
2018-11-24,38,FİAT,EGEA,2000,28323,8662,924
2019-09-11,24,BMW,S350,2007,20734,3257,1599
2018-06-06,54,BMW,E200,2016,75787,3263,1228
2018-07-19,31,TESLA,S600,2017,92165,7633,1758
2018-01-18,52,VOLVO,A180,2005,138713,4550,498
2018-02-18,59,SAAB,S350,2012,154246,6837,418
2018-10-01,35,BMW,S600,2006,138672,3513,1507
2018-04-14,57,BMW,S350,2016,174346,8691,1799
2018-10-30,25,FİAT,500,2001,176069,3511,1697
2019-07-12,43,VOLVO,E200,2001,141047,7104,368
2019-10-21,9,WOLKSWAGEN,E200,2003,93302,287,1153
